playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
2834,137.0,21.458272506082725,59.3%,60.9%,10%,17.7%,13.9%,0.7,9%,13.8%,59%,0.3%,68.7%,11.1,CBY,"SPLITTER, TIAGO",39.0,,BAS;PRS,CLA;PBB,Baskonia Vitoria-Gasteiz;Paris Basketball,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
2835,173.0,23.951156069364163,52.5%,55.4%,1.6%,8.2%,4.9%,2.2,29.3%,13.3%,25%,28.2%,18.2%,15.3,006433,"PANGOS, KEVIN",30.0,https://media-cdn.incrowdsports.com/6a15f535-77ed-4b38-b9ff-f6740de9b9f6.png,ZAL;BAR;DYR;CSK;PAM;MIL,ZAL;FCB;ZEN;CSK;VBC;EA7,Zalgiris Kaunas;FC Barcelona;Zenit St Petersburg;CSKA Moscow;Valencia Basket;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png
2836,239.0,20.489748953974896,51.8%,55.1%,5.5%,12.6%,9.1%,0.9,11.4%,12.1%,34.6%,33.2%,29.2%,9.0,JCC,"MACIULIS, JONAS",32.0,,ZAL;MIL;PAN;MAD,ZAL;MIL;PAO;RMB,Zalgiris Kaunas;EA7 Emporio Armani Milan;Panathinaikos AKTOR Athens;Real Madrid,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png;https://media-cdn.incrowdsports.com/8154f184-c61a-4e7f-b14d-9d802e35cb95.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
2837,150.0,23.567888888888888,54.6%,58.8%,8.6%,17.6%,13.1%,0.7,6.1%,9.4%,49.7%,23.4%,35.4%,10.2,ABG,"KAKIOUZIS, MICHAILIS",32.0,,AEK;SIE;BAR;IST,AEK;MPS;FCB;EFS,AEK Athens;Montepaschi Siena;FC Barcelona;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/b51b0af8-ac03-4093-8858-9b4d71830fe7.png;https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
2838,151.0,23.345916114790285,55.2%,59.1%,3.7%,14%,8.9%,2.8,34.6%,12.2%,28.8%,18.2%,30%,11.9,002939,"SATORANSKY, TOMAS",33.0,https://media-cdn.incrowdsports.com/c4c76984-2a5b-458e-b9fa-6b7969bb5bf7.png,BAR,FCB,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
2839,205.0,18.795609756097562,62%,65.7%,6.1%,14.9%,10.6%,1.4,12.5%,9.1%,35.9%,35.2%,23.2%,7.7,008829,"PETERS, ALEC",29.0,https://media-cdn.incrowdsports.com/415ba270-d601-4231-b0c8-e5a66d318117.png,CSK;IST;BAS;OLY,CSK;EFS;TDS;OLY,CSKA Moscow;Anadolu Efes Istanbul;Baskonia Vitoria-Gasteiz;Olympiacos Piraeus,https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png;https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
2840,137.0,25.987834549878347,54.1%,60.3%,2.2%,7.5%,4.9%,1.2,13.3%,11.5%,32.6%,32.3%,36.3%,15.5,AJO,"BULLOCK, LOUIS",33.0,,VER;MAL;MAD,VER;UNI;RMD,Scaligera Basket Verona;Unicaja Malaga;Real Madrid,https://media-cdn.incrowdsports.com/039b7e85-7c5d-4b94-a682-2c119c029bc1.png;https://media-cdn.incrowdsports.com/6342214b-684b-421f-8960-5d20354458da.png;https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
2841,172.0,20.5187984496124,53.4%,57.6%,4.7%,20.9%,12.8%,0.5,7.6%,14.1%,41%,27.4%,32.9%,11.2,APR,"NOCIONI, ANDRES",37.0,,BAS;MAD,LBO;RMB,Baskonia Vitoria-Gasteiz;Real Madrid,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
2842,167.0,21.530339321357285,55.5%,58.9%,2.3%,17.2%,10.1%,0.9,9.6%,10.7%,35.2%,37.6%,21.4%,11.9,003108,"HEZONJA, MARIO",29.0,https://media-cdn.incrowdsports.com/d61126dd-e3ac-46de-b012-42fd1ba92f1d.png,BAR;PAN;UNK;MAD,FCB;PAO;UNK;RMB,FC Barcelona;Panathinaikos AKTOR Athens;UNICS Kazan;Real Madrid,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.incrowdsports.com/70b00b96-e98a-42ba-9997-39d70a895157.png;https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
2843,189.0,19.223456790123457,58.2%,61.1%,4.4%,20.6%,12.7%,1.0,9.7%,9.9%,40.6%,34.4%,16.5%,9.3,005836,"THOMPKINS, TREY",33.0,https://media-cdn.incrowdsports.com/1068c6e6-fae9-4844-a650-4c60e9f46a84.png,NOV;MAD;RED,NIZ;RMB;CZV,BC Nizhny Novgorod;Real Madrid;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/dddcfb2d-29ff-4588-a297-654b4cd72c68.png;https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
2844,186.0,24.742921146953407,55.2%,59.7%,3.2%,9.1%,6.2%,2.7,39.2%,14.7%,10.1%,30.6%,29.7%,11.0,CBX,"PRIGIONI, PABLO",40.0,,MAD;BAS,RMD;CLA,Real Madrid;Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png;https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
2845,175.0,21.99647619047619,58.6%,63.4%,5.2%,13.9%,9.7%,1.2,13.8%,11.5%,47.7%,16.2%,38.3%,9.1,009005,"DECK, GABRIEL",29.0,https://media-cdn.incrowdsports.com/67bcca4b-c111-46c5-ab33-5776f7866d53.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
2846,163.0,18.316768916155418,64.5%,66.2%,12.6%,17%,14.8%,0.6,7.2%,12.3%,70%,0%,34.2%,8.0,004554,"ZIZIC, ANTE",27.0,https://media-cdn.incrowdsports.com/ba96c7c1-38ad-4579-ae05-f40d7530399d.png,DAR;TEL;IST;VIR,DDI;MTA;EFS;VIR,Darussafaka Basketbol;Maccabi Playtika Tel Aviv;Anadolu Efes Istanbul;Virtus Segafredo Bologna,https://media-cdn.incrowdsports.com/9ceb124a-7ee1-4db5-8d8c-7d485980b989.png;https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png;https://media-cdn.incrowdsports.com/4af5e83b-f2b5-4fba-a87c-1f85837a508a.png
2847,196.0,19.491071428571427,60.9%,64.1%,9.5%,21.2%,15.5%,0.7,9.7%,14.5%,63.6%,1.3%,38.1%,6.8,AHW,"MARCONATO, DENIS",40.0,,TRE;BAR;SIE;CTU;SAS,TRE;FCB;MPS;CTU;DSS,Benetton Basket Treviso;FC Barcelona;Montepaschi Siena;Pallacanestro Cantu;Polisportiva Dinamo,https://media-cdn.incrowdsports.com/0636c1b0-de3e-4ca9-bd2c-e30a4f485114.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/1d94a55f-b8c7-459c-951e-8177f5f3eebe.png;https://media-cdn.incrowdsports.com/17abff29-6978-4f75-9bbe-2e6171bb856f.png;https://media-cdn.incrowdsports.com/f2916aea-9c1a-46ff-aa3a-04765cb2a60e.png
2848,143.0,22.17972027972028,54%,57.3%,9.1%,20.2%,14.6%,1.8,29%,16.4%,35.2%,13.2%,29.7%,12.5,006589,"SIKMA, LUKE",34.0,https://media-cdn.incrowdsports.com/ae703049-980c-4ddc-8c4f-f920ee5e7710.png,BER;OLY,BER;OLY,ALBA Berlin;Olympiacos Piraeus,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
2849,160.0,25.189791666666668,55.7%,59.4%,3.6%,14.3%,8.9%,0.8,8.7%,10.7%,39.1%,30.4%,36.3%,11.5,009006,"WILLIAMS, DERRICK",31.0,https://media-cdn.incrowdsports.com/245aaf8f-09c0-4e5a-9a1b-1b010df9bc5a.png,MUN;ULK;PAM;TEL;PAN,BAY;FNB;VBC;MTA;PAO,FC Bayern Munich;Fenerbahce Beko Istanbul;Valencia Basket;Maccabi Playtika Tel Aviv;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png;https://media-cdn.incrowdsports.com/0233ebbb-f3a2-49ea-837c-7fd3e661e672.png;https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png;https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
2850,100.0,31.179000000000002,57.6%,63.9%,3.7%,14.4%,9.2%,1.1,12.4%,11.5%,51.5%,9.7%,55.2%,16.5,APN,"BODIROGA, DEJAN",33.0,,PAN;BAR;ROM,PAO;FCB;ROM,Panathinaikos AKTOR Athens;FC Barcelona;Pallacanestro Virtus Roma,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png;https://media-cdn.incrowdsports.com/e5836b62-9939-4063-b5e5-cc2f5804c142.png
2851,143.0,27.062587412587412,58.8%,63.2%,3.8%,9.9%,6.9%,1.2,13.5%,10.9%,35%,28.9%,41.9%,12.1,JMM,"SISKAUSKAS, RAMUNAS",33.0,,TRE;PAN;CSK,TRE;PAO;CSK,Benetton Basket Treviso;Panathinaikos AKTOR Athens;CSKA Moscow,https://media-cdn.incrowdsports.com/0636c1b0-de3e-4ca9-bd2c-e30a4f485114.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png
2852,132.0,22.65138888888889,56.4%,61.9%,8.8%,15.8%,12.4%,0.7,7.1%,9.9%,65.5%,0.5%,58.4%,11.3,AUO,"KRSTIC, NENAD",32.0,,PAR;CSK;IST,PAR;CSK;EFS,Partizan Mozzart Bet Belgrade;CSKA Moscow;Anadolu Efes Istanbul,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/b6a59212-7feb-4f8c-86c2-5e8f07625e3e.png;https://media-cdn.incrowdsports.com/8ea8cec7-d8f7-45f4-a956-d976b5867610.png
2853,144.0,24.959953703703704,51.1%,57.4%,2.1%,12.9%,7.4%,1.7,17.9%,10.6%,33.5%,28.8%,33.6%,15.7,009754,"LOYD, JORDAN",31.0,https://media-cdn.incrowdsports.com/215f2623-efe0-44f4-b8b1-e4d466ae2d19.png,PAM;RED;DYR;TEL;MCO,VBC;CZV;ZEN;MTA;ASM,Valencia Basket;Crvena Zvezda Meridianbet Belgrade;Zenit St Petersburg;Maccabi Playtika Tel Aviv;AS Monaco,https://media-cdn.incrowdsports.com/efd12730-f2ea-4830-9caa-7f2f676079c2.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png;https://media-cdn.incrowdsports.com/4c571fd6-52f1-428c-94a5-9143fbbb4fe3.png;https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
